action_encoded,discount_pct,confidence,retry_count_so_far,amount_log,is_escalation,hour_of_day,is_weekend,channel_encoded,is_anomaly
1,5.0,0.7,6,11.33683,0,18,0,1,0
3,0.0,0.88,0,9.475922,1,11,0,3,0
1,5.0,0.73,5,13.2235,0,13,0,2,0
1,5.0,0.79,3,8.554439,0,15,1,0,0
2,0.0,0.85,1,9.237349,0,11,0,0,0
1,5.0,0.79,3,12.637186,0,12,0,1,0
1,5.0,0.65,8,10.353556,0,14,0,1,0
1,5.0,0.65,11,12.28252,0,15,1,1,0
1,5.0,0.82,2,13.55288,0,23,0,1,0
3,0.0,0.85,1,11.685847,1,14,0,0,0
1,5.0,0.79,3,11.291927,0,6,1,1,0
2,0.0,0.88,0,11.71054,0,19,1,2,0
1,5.0,0.82,2,11.180302,0,13,0,0,0
2,0.0,0.88,0,9.295676,0,8,1,0,0
0,0.0,0.85,1,11.845949,0,15,1,1,0
1,5.0,0.76,4,6.721161,0,2,0,0,0
2,0.0,0.88,0,8.123442,0,10,0,0,0
0,64.2,0.1726,2,13.505817,0,6,0,1,1
1,5.0,0.82,2,12.893897,0,13,1,1,0
1,5.0,0.7,6,9.42877,0,12,0,1,0
1,5.0,0.82,2,12.456857,0,11,1,2,0
0,71.1,0.0881,5,12.71454,0,0,0,1,1
1,5.0,0.79,3,13.30943,0,11,0,1,0
1,5.0,0.82,2,10.125808,0,12,1,1,0
3,0.0,0.85,1,12.080647,1,23,1,0,0
1,5.0,0.7,6,12.302742,0,12,0,1,0
2,0.0,0.85,1,10.118495,0,15,1,1,0
1,5.0,0.79,3,12.676993,0,12,1,2,0
2,0.0,0.88,0,9.501723,0,14,0,0,0
2,0.0,0.88,0,12.117869,0,22,0,2,0
1,5.0,0.82,2,11.348924,0,13,0,0,0
2,0.0,0.85,1,8.701268,0,18,0,0,0
2,0.0,0.85,1,10.894981,0,14,0,2,0
2,0.0,0.88,0,9.525872,0,16,0,0,0
1,5.0,0.79,3,13.398292,0,2,0,1,0
3,0.0,0.88,0,13.756557,1,19,0,2,0
3,0.0,0.88,0,12.291632,1,9,1,1,0
2,0.0,0.88,0,9.97479,0,4,0,1,0
3,0.0,0.88,0,13.173398,1,0,1,1,0
2,0.0,0.85,1,9.549404,0,14,1,2,0
0,58.6,0.1563,0,2.394252,0,20,0,1,1
1,5.0,0.79,3,10.620576,0,19,0,1,0
0,0.0,0.85,1,11.312023,0,19,0,1,0
1,5.0,0.7,6,13.322708,0,10,0,2,0
3,0.0,0.85,1,12.558116,1,22,0,1,0
1,5.0,0.73,5,9.756312,0,11,1,0,0
2,0.0,0.88,0,6.828831,0,16,0,0,0
1,5.0,0.82,2,11.744226,0,0,0,2,0
1,5.0,0.79,3,10.113405,0,18,1,1,0
2,0.0,0.85,1,8.429924,0,14,0,0,0
2,0.0,0.88,0,8.349617,0,17,0,3,0
2,0.0,0.85,1,11.379941,0,15,0,1,0
1,5.0,0.79,3,11.634265,0,16,0,1,0
1,5.0,0.79,3,11.924471,0,0,1,2,0
2,0.0,0.88,0,8.112684,0,12,0,0,0
1,5.0,0.76,4,13.246069,0,11,0,2,0
0,0.0,0.85,1,12.074277,0,0,0,1,0
0,0.0,0.85,1,8.566562,0,17,0,2,0
2,0.0,0.88,0,10.681971,0,11,0,0,0
0,0.0,0.85,1,9.630762,0,19,0,0,0
1,5.0,0.65,8,9.835717,0,14,0,0,0
1,5.0,0.79,3,13.698888,0,13,0,2,0
0,0.0,0.85,1,13.003325,0,18,0,0,0
1,5.0,0.79,3,9.030471,0,21,0,0,0
0,0.0,0.85,1,11.395673,0,9,1,0,0
1,5.0,0.82,2,8.805474,0,16,0,1,0
3,0.0,0.85,1,9.193308,1,21,1,3,0
1,5.0,0.73,5,13.392164,0,18,0,2,0
3,0.0,0.88,0,11.996352,1,11,1,1,0
3,0.0,0.88,0,12.558891,1,0,0,1,0
2,0.0,0.85,1,8.781873,0,14,0,0,0
2,0.0,0.88,0,10.634929,0,18,0,1,0
2,0.0,0.88,0,8.149735,0,12,0,3,0
2,0.0,0.88,0,10.287049,0,17,0,2,0
2,0.0,0.88,0,8.087293,0,17,0,0,0
3,0.0,0.88,0,12.51204,1,2,0,1,0
1,5.0,0.79,3,12.548841,0,0,0,1,0
0,0.0,0.85,1,10.78037,0,19,0,2,0
2,0.0,0.88,0,8.689705,0,11,0,1,0
0,0.0,0.85,1,7.397984,0,13,1,3,0
1,5.0,0.79,3,11.187856,0,20,0,0,0
1,5.0,0.79,3,11.02093,0,11,0,1,0
1,5.0,0.65,8,13.103486,0,13,0,2,0
2,0.0,0.85,1,10.705961,0,12,0,2,0
1,5.0,0.82,2,9.413723,0,16,0,2,0
3,0.0,0.85,1,12.81866,1,12,0,2,0
3,0.0,0.85,1,10.140248,1,1,0,3,0
1,5.0,0.73,5,11.959866,0,13,0,1,0
1,5.0,0.79,3,10.268207,0,23,0,1,0
1,5.0,0.76,4,12.585849,0,13,0,1,0
2,0.0,0.88,0,9.383413,0,3,0,0,0
3,0.0,0.88,0,12.908974,1,17,0,2,0
0,0.0,0.85,1,11.295677,0,19,1,1,0
1,5.0,0.82,2,10.628772,0,16,0,1,0
1,5.0,0.82,2,9.067813,0,10,1,3,0
1,5.0,0.82,2,10.846627,0,12,1,1,0
1,5.0,0.82,2,12.300054,0,13,0,2,0
0,0.0,0.85,1,11.304719,0,12,1,1,0
3,0.0,0.79,3,12.442748,1,0,0,1,0
0,0.0,0.88,0,10.843532,0,21,1,1,0
1,5.0,0.79,3,13.702434,0,13,0,2,0
1,5.0,0.73,5,13.024739,0,3,1,2,0
1,5.0,0.82,2,11.702357,0,15,1,1,0
1,5.0,0.82,2,11.4524,0,11,1,1,0
2,0.0,0.88,0,10.646904,0,17,0,0,0
1,5.0,0.7,6,9.066284,0,11,0,1,0
1,5.0,0.79,3,12.554717,0,21,1,1,0
1,5.0,0.65,8,11.43002,0,20,0,0,0
3,0.0,0.85,1,13.028257,1,1,1,2,0
0,0.0,0.85,1,11.440412,0,11,0,1,0
2,0.0,0.85,1,11.081995,0,10,0,1,0
0,0.0,0.88,0,10.94902,0,20,0,2,0
3,0.0,0.85,1,11.567672,1,6,0,1,0
2,0.0,0.88,0,9.297171,0,14,0,0,0
2,0.0,0.88,0,10.009337,0,14,0,1,0
2,0.0,0.85,1,12.389917,0,12,0,2,0
1,5.0,0.79,3,11.692594,0,14,0,1,0
3,0.0,0.85,1,11.961447,1,23,0,1,0
0,74.7,0.1449,1,5.318806,0,3,0,3,1
3,0.0,0.76,4,11.966029,1,18,0,0,0
1,5.0,0.76,4,9.069406,0,23,0,0,0
1,5.0,0.79,3,11.971996,0,12,1,2,0
2,0.0,0.88,0,8.584177,0,16,0,0,0
1,5.0,0.76,4,12.927729,0,11,0,1,0
1,5.0,0.79,3,12.770318,0,11,1,1,0
0,0.0,0.85,1,9.773764,0,1,0,3,0
1,5.0,0.76,4,9.83891,0,14,1,3,0
2,0.0,0.88,0,11.874837,0,15,1,2,0
1,5.0,0.79,3,9.816842,0,12,1,0,0
1,5.0,0.76,4,9.066818,0,14,1,2,0
1,5.0,0.79,3,8.433968,0,13,1,3,0
2,0.0,0.88,0,9.039624,0,12,0,1,0
1,5.0,0.79,3,11.241903,0,18,0,0,0
2,0.0,0.88,0,6.994392,0,9,0,0,0
2,0.0,0.85,1,9.178246,0,23,0,0,0
1,5.0,0.73,5,11.261082,0,14,0,0,0
2,0.0,0.88,0,8.446429,0,11,0,0,0
3,0.0,0.88,0,13.813065,1,0,1,2,0
2,0.0,0.88,0,10.838021,0,19,1,1,0
3,0.0,0.85,1,12.403102,1,21,0,1,0
2,0.0,0.88,0,11.564241,0,17,0,2,0
3,0.0,0.85,1,13.025568,1,2,0,2,0
2,0.0,0.85,1,7.47183,0,13,0,0,0
1,5.0,0.79,3,14.213695,0,11,1,2,0
2,0.0,0.88,0,8.92975,0,11,0,0,0
1,5.0,0.82,2,12.967103,0,17,1,1,0
1,5.0,0.82,2,8.724321,0,18,0,2,0
2,0.0,0.88,0,11.723535,0,10,0,2,0
2,0.0,0.88,0,9.242929,0,13,1,0,0
1,5.0,0.76,4,11.00744,0,22,1,0,0
1,5.0,0.79,3,11.878658,0,18,0,1,0
2,0.0,0.85,1,7.635439,0,1,1,2,0
0,0.0,0.85,1,13.572227,0,15,1,2,0
1,5.0,0.76,4,13.455174,0,2,0,2,0
1,5.0,0.7,6,11.103019,0,18,0,2,0
1,5.0,0.73,5,10.603389,0,12,1,3,0
1,5.0,0.7,6,9.945783,0,16,0,0,0
2,0.0,0.88,0,9.025296,0,16,0,0,0
1,5.0,0.79,3,10.814219,0,10,0,0,0
1,5.0,0.79,3,10.758512,0,10,0,0,0
1,5.0,0.76,4,11.975926,0,9,0,1,0
0,0.0,0.85,1,9.045995,0,19,0,0,0
1,5.0,0.82,2,11.629392,0,21,1,1,0
2,0.0,0.88,0,9.21941,0,8,1,1,0
0,0.0,0.85,1,8.556387,0,18,0,0,0
1,5.0,0.82,2,11.811577,0,21,1,1,0
2,0.0,0.88,0,10.897189,0,13,1,1,0
1,5.0,0.73,5,10.863556,0,7,1,0,0
3,0.0,0.88,0,13.520382,1,1,0,1,0
1,5.0,0.82,2,8.77999,0,9,0,3,0
0,0.0,0.85,1,10.299394,0,11,0,2,0
2,0.0,0.85,1,9.050501,0,12,0,0,0
0,0.0,0.85,1,11.068936,0,4,0,1,0
1,5.0,0.73,5,12.31043,0,16,0,2,0
1,5.0,0.7,6,10.682692,0,23,0,0,0
2,0.0,0.88,0,9.939361,0,15,1,1,0
1,44.3,0.0526,14,12.574657,0,9,0,2,1
0,0.0,0.85,1,11.596688,0,12,1,0,0
1,5.0,0.82,2,11.663958,0,19,0,1,0
3,0.0,0.85,1,11.466427,1,15,0,0,0
1,5.0,0.82,2,10.551669,0,2,1,2,0
1,5.0,0.73,5,13.038633,0,1,1,2,0
3,0.0,0.88,0,10.41062,1,1,0,1,0
2,0.0,0.85,1,7.637635,0,10,0,2,0
0,0.0,0.85,1,9.755642,0,17,0,0,0
0,0.0,0.85,1,11.549078,0,21,0,1,0
3,0.0,0.82,2,11.621677,1,9,0,1,0
1,5.0,0.82,2,11.814977,0,17,0,1,0
3,0.0,0.88,0,9.845209,1,3,0,1,0
1,42.1,0.1357,1,14.322907,0,12,0,2,1
3,0.0,0.88,0,12.620862,1,12,0,1,0
3,0.0,0.85,1,11.996416,1,2,0,1,0
1,5.0,0.79,3,11.175401,0,19,0,1,0
2,0.0,0.88,0,10.257733,0,11,1,1,0
2,0.0,0.88,0,9.232008,0,12,0,0,0
1,5.0,0.79,3,11.242705,0,16,0,1,0
2,0.0,0.82,2,10.859508,0,16,1,1,0
3,0.0,0.88,0,12.792663,1,0,1,1,0
1,5.0,0.67,7,11.401528,0,9,0,0,0
1,5.0,0.73,5,9.586861,0,11,0,0,0
2,0.0,0.85,1,12.040014,0,19,0,2,0
2,0.0,0.85,1,8.958032,0,19,1,0,0
2,0.0,0.88,0,6.945783,0,13,0,0,0
2,0.0,0.85,1,9.280453,0,8,0,1,0
3,0.0,0.85,1,12.736936,1,22,1,1,0
3,0.0,0.88,0,11.246827,1,2,0,0,0
0,0.0,0.85,1,6.082698,0,23,0,3,0
3,0.0,0.88,0,12.479913,1,0,0,1,0
2,0.0,0.88,0,9.203011,0,11,0,0,0
1,5.0,0.73,5,9.516776,0,16,1,3,0
0,0.0,0.85,1,12.218392,0,6,0,1,0
2,0.0,0.85,1,12.211125,0,10,1,1,0
0,0.0,0.85,1,11.800096,0,17,0,0,0
1,5.0,0.76,4,10.422869,0,0,1,0,0
2,0.0,0.85,1,11.556771,0,17,0,2,0
1,5.0,0.79,3,10.221426,0,11,0,2,0
2,0.0,0.85,1,9.786365,0,9,0,1,0
2,0.0,0.88,0,6.638542,0,11,0,0,0
