transaction_id,customer_id,amount,channel,decline_code,timestamp,retry_count_so_far,merchant_category,is_recurring,customer_txn_history_len,label,is_anomaly,hour_of_day,day_of_week,is_weekend,amount_log,time_since_last_failure_hours,amount_vs_customer_avg_ratio,customer_risk_tier,data_source
c54355d3-42e4-4b0a-a1b0-f0774c15ec59,d014f5c5-d2ad-42d7-a2e4-ede92a8eab7d,298.46,netbanking,CONNECTION_RESET,2026-06-19T02:36:55.371806+00:00,3,utilities,0,153,gateway_timeout,0,2,2,0,5.701981,57.7,1.0,standard,kaggle:mlg-ulb/creditcardfraud
13bcc5f6-e69a-46d3-b92a-45b3f18c8474,7a644a86-eacf-4146-affe-f72c78bab720,43.91,upi,GATEWAY_TIMEOUT,2026-06-28T11:08:09.371854+00:00,2,travel,1,118,gateway_timeout,0,11,4,0,3.80466,573.89,1.0,standard,kaggle:mlg-ulb/creditcardfraud
8e100d4b-6583-44cd-80c8-a3aa38dcbf8b,11f84f6d-cdda-4c12-ae75-096fd9184fed,1.98,netbanking,3DS_FAILED,2026-07-27T07:55:31.371889+00:00,2,travel,0,141,insufficient_funds,0,7,4,0,1.091923,123.13,1.0,standard,kaggle:mlg-ulb/creditcardfraud
ad6f4786-dd2a-4f3f-ae55-0bf3c96129b9,7fd4255f-0cfa-4665-aab5-c2b6588508ea,1.0,card,INSUFFICIENT_FUNDS,2026-06-27T20:12:42.371921+00:00,2,ecommerce,1,92,insufficient_funds,0,20,2,0,0.693147,122.26,1.0,standard,kaggle:mlg-ulb/creditcardfraud
4a0182e1-ee5d-4cc5-aed9-749afbf8c685,bfceec3b-a85f-4076-ba88-88b10befecae,0.89,card,INSUFFICIENT_FUNDS,2026-06-14T16:10:32.371954+00:00,1,ecommerce,0,150,insufficient_funds,0,16,4,0,0.636577,695.23,0.89,standard,kaggle:mlg-ulb/creditcardfraud
9b18db09-6a84-461f-b27b-26a02ca88dac,55526dbb-4a8f-402e-81da-405f84218f1e,39.5,card,3DS_FAILED,2026-07-10T04:59:13.371985+00:00,0,utilities,0,164,gateway_timeout,0,4,5,1,3.701302,226.68,1.0,standard,kaggle:mlg-ulb/creditcardfraud
fe88e79a-645d-4d3d-9203-07d12c2441e7,2c01e018-3f92-4ab5-af25-34f9339f2499,158.0,upi,3DS_FAILED,2026-06-10T18:08:19.372016+00:00,0,insurance,0,132,insufficient_funds,0,18,0,0,5.068904,231.42,1.0,standard,kaggle:mlg-ulb/creditcardfraud
4b187415-a2f0-472b-9584-b7df4b74e141,49edddce-2bbf-42f8-8d22-b3e61a775630,0.45,netbanking,3DS_FAILED,2026-06-02T15:10:11.372047+00:00,1,utilities,0,158,insufficient_funds,0,15,3,0,0.371564,219.38,0.45,standard,kaggle:mlg-ulb/creditcardfraud
6a9d3ce2-5fe5-493d-9a03-854acfe22fa5,449908e6-d1a5-4fa6-bb03-0640f8956d8f,40.0,card,CONNECTION_RESET,2026-06-25T04:23:45.372076+00:00,0,travel,0,87,auth_3ds_failure,0,4,4,0,3.713572,509.23,1.0,standard,kaggle:mlg-ulb/creditcardfraud
20b9a3ca-1be3-48bd-b0e2-82094f1cdd2b,3f1cb94a-3c2b-4886-9616-83bf82e3dfc4,25.0,upi,INSUFFICIENT_FUNDS,2026-08-17T17:35:31.372106+00:00,3,utilities,0,135,auth_3ds_failure,0,17,3,0,3.258097,157.23,1.0,standard,kaggle:mlg-ulb/creditcardfraud
